year,station_id,station_name,location,org_1_id,org_1_name,org_2_id,org_2_name,official_start,superintendent,num_teachers_others,num_students,property_value,total_income,total_expenditure,surplus_deficit,notes,source
1826,S08,Caney Creek Mission,,O015,SSCGA - Synod of South Carolina & Georgia,O018,CHIC - Chicasaws,,Hugh L. Wilson,6,,691.82,,1604.3,,,"OIA Microfilm 234:773, 480"
1826,S041,Martyn Mission,,O015,SSCGA - Synod of South Carolina & Georgia,O018,CHIC - Chicasaws,,Willam C. Blair,2,16,,,,,,"OIA Microfilm 234:773, 480"
1824,S056,Passamaquoddy Mission,"Indian Point, Perry, Maine",O014,"SPGIONA - Society for the Propagation of the Gospel, the Indians and Others in North America",O009,MMS - Massachusetts Missionary Society,1824,Elijah Kellogg,1,60,350,233.33,233.33,0,,"OIA Microfilm 234:772, 135"
1820,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,10,80,11478,11987.86,12105.85,,,"OIA Microfilm 271:3, 399"
1821,S06,Brainerd Mission,Cherokee Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Ard Hoyt,31,96,14212,9175.37,,,,"OIA Microfilm 271:3, 949"
1821,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,,,0,,,,-18000,approx. deficit,"OIA Microfilm 271:3, 918"
1822,S051,Bethel Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1821,Cyrus Kingsbury,2,15,,744.89,668.26,,"Reported as ""Newell""","OIA Microfilm 271:4, 709"
1822,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Alfred Finney; Cephas Washburn,9,50,9655.31,17143.01,16499.4,-643.61,,"OIA Microfilm 271:4, 103"
1822,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,81,21271,13233.98,9735.88,3488.1,,"OIA Microfilm 271:4, 701"
1822,S019,Emmaus Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,2,0,,,,,"Mission is not yet started and is unnamed, but buildings have been acquired","OIA Microfilm 271:4, 709"
1822,S043,Mayhew Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,9,47,15962,15562.1,15706.92,2045.52,,"OIA Microfilm 271:4, 704"
1823,S051,Bethel Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,25,4500,1606.92,1967.77,,,"OIA Microfilm 271:4, 679"
1823,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Alfred Finney; Cephas Washburn,,60,,520,8261.03,,property seriously damaged by flooding,"OIA Microfilm 271:4, 564"
1823,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,44,22176,10993.93,8276.13,,,"OIA Microfilm 271:4, 675"
1823,S019,Emmaus Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,,10,2100,3617.24,3089.24,,"school dismissed after 2 weeks due, illness","OIA Microfilm 271:4, 685"
1823,S038,Juzon's Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,10,,250,450,,Expenditured stated as approximate,"OIA Microfilm 271:4, 686"
1823,S043,Mayhew Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,68,20000,15432.07,12995.54,2436.53,,"OIA Microfilm 271:4, 681"
1823,S046,Mushalutubbe Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,,10,,,,,School at Mingo Mushalootubbee's; expenses are included with Mayhew's,"OIA Microfilm 271:4, 684"
1823,S072,Yoknokchaya Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,,0,,1916.66,,,Yok-nee Uh-chuk-nuh,"OIA Microfilm 271:4, 687"
1824,S01,Aiikhunna Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,4,,,300.3,300.3,0,,"OIA Microfilm 234:772, 210"
1824,S04,Bethany Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,3,,1852,880.16,1074.22,-194.06,,"OIA Microfilm 234:772, 210"
1824,S051,Bethel Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1821,Cyrus Kingsbury,4,21,3463,646.13,431.58,214.55,,"OIA Microfilm 234:772, 210"
1824,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Alfred Finney; Cephas Washburn,11,75,10305,8356.33,7180.34,1175.99,,"OIA Microfilm 234:772, 95"
1824,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1819,Cyrus Kingsbury,7,46,19950,4010.68,2155.55,1855.13,,"OIA Microfilm 234:772, 210"
1824,S019,Emmaus Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,4,20,2847,,1777.29,2233.39,,"OIA Microfilm 234:772, 210"
1824,S027,Goshen Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,4,15,3408,2588.13,2162.01,426.12,,"OIA Microfilm 234:772, 210"
1824,S029,Hachah Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,1,12,30,11.56,11.56,0,,"OIA Microfilm 234:772, 210"
1824,S038,Juzon's Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,12,,448.25,448.25,0,,"OIA Microfilm 234:772, 210"
1824,S043,Mayhew Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,10,69,17262,2190.72,3113.42,-922.7,,"OIA Microfilm 234:772, 210"
1824,S046,Mushalutubbe Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,11,100,347.13,347.13,0,,"OIA Microfilm 234:772, 210"
1825,S01,Aiikhunna Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,3,30,1000,1980.99,1225.7,658.69,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S04,Bethany Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,,,,162.43,100.5,54.01,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S051,Bethel Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1821,Cyrus Kingsbury,4,16,2000,882.63,546.11,293.48,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S05,Bokeetunnah Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1825,Cyrus Kingsbury,2,4,100,396.65,245.42,131.89,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S06,Brainerd Mission,"Cherokee Nation, E. Missippi",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,A. Hoyt,4,84,,,,,,"OIA Microfilm 234:773, 9"
1825,S016,Creekpath Mission,"Cherokee Nation, E. Missippi",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,A. Hoyt,,,,,,,,"OIA Microfilm 234:773, 9"
1825,S017,Dwight Mission,Arkansas Territory,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cephas Washburn,16,65,11420,8971.99,8331.64,640.35,,"OIA Microfilm 234:772, 758"
1825,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1818,Cyrus Kingsbury,7,30,14000,772.55,478,256.88,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S019,Emmaus Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,3,22,2000,1970.69,1219.33,655.26,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S027,Goshen Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,6,16,2100,1530.66,947.07,508.95,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S029,Hachah Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,13,,595.86,368.68,198.13,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S035,Hightower Mission,"Cherokee Nation, E. Missippi",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,A. Hoyt,,,,,,,,"OIA Microfilm 234:773, 9"
1825,S038,Juzon's Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,13,,494.56,306,164.44,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S043,Mayhew Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cyrus Kingsbury,6,65,8500,3504.61,2168.41,1165.3,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1825,S046,Mushalutubbe Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,13,,380.47,235.41,126.51,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($12672.11), and the original surplus was provided as one amount ($4213.52)","OIA Microfilm 234:772, 598"
1826,S01,Aiikhunna Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,3,22,1085,2262.2,1481.69,780.51,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S04,Bethany Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,,,900,1574,1574,0,,"OIA Microfilm 234:773, 228"
1826,S051,Bethel Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1821,Cyrus Kingsbury,4,16,1504,1178.9,772.15,406.75,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S017,Dwight Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cephas Washburn,14,50,12599,6412.92,6342.34,70.58,,"OIA Microfilm 234:773, 527"
1826,S018,Elliott Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,6,20,14305,0,0,0,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S019,Emmaus Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,4,25,3130,2493.72,1633.33,860.39,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S027,Goshen Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,6,14,2808,1304.59,854.48,450.11,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S029,Hachah Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,4,13,150,716.76,469.46,247.3,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S038,Juzon's Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,15,0,410.41,268.81,141.6,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S043,Mayhew Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cyrus Kingsbury,6,54,1372,3768.69,2468.41,1300.28,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1826,S058,Seneca Mission,"4 miles from the village of Buffalo, NY",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1819,Thomson L. Harris,8,45,2500,1627.82,1627.82,0,,"OIA Microfilm 234:773, 100"
1826,S067,Union Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,William F. Nail,15,30,1749.37,4025.61,3806.14,219.47,,"OIA Microfilm 234:773, 482"
1826,S072,Yoknokchaya Mission,,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1826,Cyrus Kingsbury,1,7,,,475,,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 257"
1827,S01,Aiikhunna Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,2,24,1185,1841.05,1084.79,491.68,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S051,Bethel Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1821,Cyrus Kingsbury,3,8,,1150.53,677.92,307.27,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S017,Dwight Mission,Cherokee,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cephas Washburn,15,50,12924,6687.62,4789.25,1898.37,,"OIA Microfilm 234:773, 909"
1827,S018,Elliott Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1818,Cyrus Kingsbury,6,44,13300,786.75,463.57,210.11,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S019,Emmaus Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,4,22,3356,2581.67,1521.18,689.48,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S027,Goshen Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,7,10,2692,1067.54,629.02,285.10,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S029,Hachah Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,,,,14.43,8.5,3.85,discontinued,"OIA Microfilm 234:773, 757"
1827,S038,Juzon's Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,13,,977.98,576.25,261.19,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S043,Mayhew Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cyrus Kingsbury,8,46,13233,4846.22,2855.5,1294.26,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1827,S072,Yoknokchaya Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1826,Cyrus Kingsbury,2,12,,149.20,87.91,39.85,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($13415.38), and the original surplus was provided as one amount ($3582.79)","OIA Microfilm 234:773, 757"
1828,S01,Aiikhunna Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,6,44,,721.26,381.63,188.09,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1818,Cyrus Kingsbury,8,49,10412,3080.95,1630.17,803.43,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S019,Emmaus Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,5,16,3076,1473.56,779.68,384.27,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S027,Goshen Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,7,20,2742,2090.84,1106.29,545.24,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S034,Hebron Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1827,Cyrus Kingsbury,3,20,,1218.91,644.94,317.86,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S038,Juzon's Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,1,13,,1112.84,588.82,290.2,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S043,Mayhew Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,Cyrus Kingsbury,9,50,12250,5003.82,2647.59,1304.86,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1828,S072,Yoknokchaya Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1826,Cyrus Kingsbury,1,12,200,684.43,362.14,178.48,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($15386.61), and the original surplus was provided as one amount ($4012.42)","OIA Microfilm 234:773, 1165"
1829,S01,Aiikhunna Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1824,Cyrus Kingsbury,2,30,800,860.62,754.1,391.21,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($8795.61), and the original surplus was provided as one amount ($3998.21)","OIA Microfilm 234:774, 204"
1829,S018,Elliott Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1818,Cyrus Kingsbury,7,50,9000,969.54,849.54,440.72,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($8795.61), and the original surplus was provided as one amount ($3998.21)","OIA Microfilm 234:774, 204"
1829,S019,Emmaus Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1822,Cyrus Kingsbury,5,20,2736,1339.49,1173.7,608.89,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($8795.61), and the original surplus was provided as one amount ($3998.21)","OIA Microfilm 234:774, 204"
1829,S027,Goshen Mission,Choctaw,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1823,Cyrus Kingsbury,4,28,2688,1121.35,982.56,509.73,"Total income and surplus estimated based on the percentage of total expenditure. The original total income was provided as one amount ($8795.61), and the original surplus was provided as one amount ($3998.21)","OIA Microfilm 234:774, 204"
